,jobid,machine,date,sim type,nt,pauli twirling,dynamic decoupling,epsilon,mass,counts bare
0,632b6e1cfcf0f311e8eac81a,ibmq_jakarta,2022-10-20 19:39:33.663483,evolution,1,True,True,0.3,1.0,"{'0x0': 20, '0x1': 23, '0x10': 18, '0x11': 11, '0x12': 13, '0x13': 14, '0x14': 15, '0x15': 13, '0x16': 13, '0x17': 15, '0x18': 19, '0x19': 28, '0x1a': 10, '0x1b': 16, '0x1c': 10, '0x1d': 17, '0x1e': 15, '0x1f': 10, '0x2': 19, '0x20': 38, '0x21': 30, '0x22': 19, '0x23': 28, '0x24': 16, '0x25': 14, '0x26': 8, '0x27': 8, '0x28': 14, '0x29': 14, '0x2a': 15, '0x2b': 8, '0x2c': 17, '0x2d': 20, '0x2e': 21, '0x2f': 22, '0x3': 22, '0x30': 23, '0x31': 12, '0x32': 17, '0x33': 21, '0x34': 15, '0x35': 12, '0x36': 18, '0x37': 22, '0x38': 23, '0x39': 23, '0x3a': 24, '0x3b': 18, '0x3c': 11, '0x3d': 18, '0x3e': 17, '0x3f': 4, '0x4': 12, '0x40': 13, '0x41': 19, '0x42': 15, '0x43': 18, '0x44': 14, '0x45': 6, '0x46': 5, '0x47': 6, '0x48': 13, '0x49': 9, '0x4a': 7, '0x4b': 7, '0x4c': 22, '0x4d': 16, '0x4e': 22, '0x4f': 10, '0x5': 16, '0x50': 14, '0x51': 11, '0x52': 16, '0x53': 11, '0x54': 11, '0x55': 15, '0x56': 14, '0x57': 16, '0x58': 22, '0x59': 22, '0x5a': 14, '0x5b': 12, '0x5c': 13, '0x5d': 7, '0x5e': 10, '0x5f': 8, '0x6': 8, '0x60': 27, '0x61': 31, '0x62': 29, '0x63': 16, '0x64': 18, '0x65': 9, '0x66': 12, '0x67': 6, '0x68': 16, '0x69': 16, '0x6a': 17, '0x6b': 13, '0x6c': 24, '0x6d': 16, '0x6e': 15, '0x6f': 17, '0x7': 8, '0x70': 16, '0x71': 9, '0x72': 9, '0x73': 12, '0x74': 21, '0x75': 12, '0x76': 25, '0x77': 14, '0x78': 23, '0x79': 16, '0x7a': 22, '0x7b': 16, '0x7c': 13, '0x7d': 16, '0x7e': 13, '0x7f': 9, '0x8': 14, '0x9': 4, '0xa': 7, '0xb': 21, '0xc': 20, '0xd': 17, '0xe': 16, '0xf': 20}"
1,632b6e1cfcf0f311e8eac81a,ibmq_jakarta,2022-10-20 19:39:33.663525,evolution,1,True,True,0.3,1.0,"{'0x0': 18, '0x1': 16, '0x10': 12, '0x11': 12, '0x12': 12, '0x13': 16, '0x14': 19, '0x15': 22, '0x16': 17, '0x17': 26, '0x18': 33, '0x19': 22, '0x1a': 35, '0x1b': 27, '0x1c': 3, '0x1d': 12, '0x1e': 11, '0x1f': 6, '0x2': 26, '0x20': 23, '0x21': 25, '0x22': 27, '0x23': 20, '0x24': 10, '0x25': 8, '0x26': 12, '0x27': 14, '0x28': 15, '0x29': 21, '0x2a': 12, '0x2b': 11, '0x2c': 14, '0x2d': 15, '0x2e': 21, '0x2f': 20, '0x3': 24, '0x30': 11, '0x31': 13, '0x32': 17, '0x33': 18, '0x34': 11, '0x35': 17, '0x36': 23, '0x37': 24, '0x38': 19, '0x39': 14, '0x3a': 45, '0x3b': 26, '0x3c': 9, '0x3d': 8, '0x3e': 20, '0x3f': 17, '0x4': 6, '0x40': 11, '0x41': 16, '0x42': 21, '0x43': 9, '0x44': 10, '0x45': 6, '0x46': 9, '0x47': 4, '0x48': 10, '0x49': 8, '0x4a': 16, '0x4b': 10, '0x4c': 14, '0x4d': 9, '0x4e': 11, '0x4f': 11, '0x5': 16, '0x50': 13, '0x51': 11, '0x52': 12, '0x53': 10, '0x54': 20, '0x55': 13, '0x56': 21, '0x57': 13, '0x58': 18, '0x59': 16, '0x5a': 27, '0x5b': 19, '0x5c': 11, '0x5d': 11, '0x5e': 20, '0x5f': 12, '0x6': 11, '0x60': 13, '0x61': 21, '0x62': 19, '0x63': 20, '0x64': 17, '0x65': 7, '0x66': 19, '0x67': 12, '0x68': 15, '0x69': 10, '0x6a': 15, '0x6b': 15, '0x6c': 15, '0x6d': 6, '0x6e': 16, '0x6f': 15, '0x7': 11, '0x70': 7, '0x71': 12, '0x72': 11, '0x73': 12, '0x74': 18, '0x75': 20, '0x76': 21, '0x77': 19, '0x78': 25, '0x79': 19, '0x7a': 19, '0x7b': 23, '0x7c': 8, '0x7d': 9, '0x7e': 11, '0x7f': 9, '0x8': 17, '0x9': 18, '0xa': 17, '0xb': 9, '0xc': 17, '0xd': 10, '0xe': 16, '0xf': 23}"
2,632b6e1cfcf0f311e8eac81a,ibmq_jakarta,2022-10-20 19:39:33.663539,evolution,1,True,True,0.3,1.0,"{'0x0': 21, '0x1': 22, '0x10': 18, '0x11': 7, '0x12': 9, '0x13': 12, '0x14': 20, '0x15': 15, '0x16': 17, '0x17': 25, '0x18': 27, '0x19': 17, '0x1a': 21, '0x1b': 25, '0x1c': 11, '0x1d': 14, '0x1e': 13, '0x1f': 12, '0x2': 20, '0x20': 14, '0x21': 26, '0x22': 21, '0x23': 18, '0x24': 9, '0x25': 10, '0x26': 7, '0x27': 12, '0x28': 9, '0x29': 5, '0x2a': 14, '0x2b': 15, '0x2c': 19, '0x2d': 18, '0x2e': 22, '0x2f': 19, '0x3': 10, '0x30': 17, '0x31': 16, '0x32': 20, '0x33': 21, '0x34': 25, '0x35': 22, '0x36': 29, '0x37': 33, '0x38': 25, '0x39': 24, '0x3a': 22, '0x3b': 18, '0x3c': 14, '0x3d': 13, '0x3e': 24, '0x3f': 13, '0x4': 15, '0x40': 18, '0x41': 17, '0x42': 18, '0x43': 19, '0x44': 8, '0x45': 10, '0x46': 11, '0x47': 6, '0x48': 5, '0x49': 10, '0x4a': 10, '0x4b': 8, '0x4c': 9, '0x4d': 13, '0x4e': 12, '0x4f': 6, '0x5': 13, '0x50': 18, '0x51': 11, '0x52': 15, '0x53': 22, '0x54': 25, '0x55': 18, '0x56': 13, '0x57': 18, '0x58': 22, '0x59': 25, '0x5a': 12, '0x5b': 11, '0x5c': 12, '0x5d': 9, '0x5e': 11, '0x5f': 15, '0x6': 8, '0x60': 26, '0x61': 22, '0x62': 17, '0x63': 18, '0x64': 11, '0x65': 16, '0x66': 11, '0x67': 11, '0x68': 14, '0x69': 11, '0x6a': 11, '0x6b': 12, '0x6c': 20, '0x6d': 20, '0x6e': 17, '0x6f': 17, '0x7': 9, '0x70': 13, '0x71': 18, '0x72': 14, '0x73': 10, '0x74': 27, '0x75': 15, '0x76': 20, '0x77': 22, '0x78': 16, '0x79': 21, '0x7a': 22, '0x7b': 9, '0x7c': 9, '0x7d': 9, '0x7e': 10, '0x7f': 6, '0x8': 10, '0x9': 8, '0xa': 7, '0xb': 8, '0xc': 26, '0xd': 18, '0xe': 21, '0xf': 15}"
3,632b6e1cfcf0f311e8eac81a,ibmq_jakarta,2022-10-20 19:39:33.663549,evolution,1,True,True,0.3,1.0,"{'0x0': 26, '0x1': 26, '0x10': 13, '0x11': 7, '0x12': 19, '0x13': 11, '0x14': 22, '0x15': 22, '0x16': 22, '0x17': 14, '0x18': 26, '0x19': 35, '0x1a': 27, '0x1b': 18, '0x1c': 11, '0x1d': 9, '0x1e': 19, '0x1f': 9, '0x2': 19, '0x20': 27, '0x21': 20, '0x22': 32, '0x23': 14, '0x24': 9, '0x25': 8, '0x26': 5, '0x27': 12, '0x28': 14, '0x29': 9, '0x2a': 10, '0x2b': 17, '0x2c': 18, '0x2d': 21, '0x2e': 17, '0x2f': 20, '0x3': 28, '0x30': 17, '0x31': 17, '0x32': 22, '0x33': 7, '0x34': 25, '0x35': 11, '0x36': 22, '0x37': 19, '0x38': 26, '0x39': 22, '0x3a': 26, '0x3b': 22, '0x3c': 9, '0x3d': 22, '0x3e': 20, '0x3f': 5, '0x4': 13, '0x40': 15, '0x41': 26, '0x42': 22, '0x43': 15, '0x44': 6, '0x45': 8, '0x46': 14, '0x47': 1, '0x48': 9, '0x49': 4, '0x4a': 10, '0x4b': 8, '0x4c': 16, '0x4d': 17, '0x4e': 14, '0x4f': 5, '0x5': 11, '0x50': 20, '0x51': 20, '0x52': 14, '0x53': 10, '0x54': 17, '0x55': 13, '0x56': 19, '0x57': 23, '0x58': 16, '0x59': 13, '0x5a': 26, '0x5b': 14, '0x5c': 10, '0x5d': 10, '0x5e': 14, '0x5f': 9, '0x6': 18, '0x60': 28, '0x61': 17, '0x62': 30, '0x63': 16, '0x64': 9, '0x65': 13, '0x66': 16, '0x67': 15, '0x68': 9, '0x69': 15, '0x6a': 9, '0x6b': 17, '0x6c': 16, '0x6d': 13, '0x6e': 15, '0x6f': 16, '0x7': 10, '0x70': 16, '0x71': 7, '0x72': 14, '0x73': 12, '0x74': 15, '0x75': 14, '0x76': 12, '0x77': 36, '0x78': 28, '0x79': 17, '0x7a': 24, '0x7b': 13, '0x7c': 6, '0x7d': 9, '0x7e': 9, '0x7f': 7, '0x8': 17, '0x9': 9, '0xa': 6, '0xb': 9, '0xc': 14, '0xd': 10, '0xe': 15, '0xf': 9}"
4,632b6e1cfcf0f311e8eac81a,ibmq_jakarta,2022-10-20 19:39:33.663559,evolution,1,True,True,0.3,1.0,"{'0x0': 18, '0x1': 16, '0x10': 14, '0x11': 9, '0x12': 13, '0x13': 14, '0x14': 15, '0x15': 22, '0x16': 19, '0x17': 16, '0x18': 28, '0x19': 19, '0x1a': 22, '0x1b': 15, '0x1c': 10, '0x1d': 8, '0x1e': 25, '0x1f': 13, '0x2': 25, '0x20': 17, '0x21': 27, '0x22': 22, '0x23': 29, '0x24': 12, '0x25': 9, '0x26': 15, '0x27': 9, '0x28': 13, '0x29': 10, '0x2a': 10, '0x2b': 13, '0x2c': 20, '0x2d': 13, '0x2e': 23, '0x2f': 17, '0x3': 11, '0x30': 15, '0x31': 12, '0x32': 10, '0x33': 16, '0x34': 16, '0x35': 11, '0x36': 21, '0x37': 22, '0x38': 20, '0x39': 24, '0x3a': 17, '0x3b': 21, '0x3c': 17, '0x3d': 19, '0x3e': 25, '0x3f': 17, '0x4': 13, '0x40': 9, '0x41': 18, '0x42': 17, '0x43': 17, '0x44': 8, '0x45': 7, '0x46': 11, '0x47': 4, '0x48': 9, '0x49': 8, '0x4a': 7, '0x4b': 13, '0x4c': 14, '0x4d': 10, '0x4e': 16, '0x4f': 14, '0x5': 13, '0x50': 12, '0x51': 9, '0x52': 13, '0x53': 10, '0x54': 22, '0x55': 17, '0x56': 23, '0x57': 21, '0x58': 14, '0x59': 12, '0x5a': 25, '0x5b': 23, '0x5c': 12, '0x5d': 14, '0x5e': 28, '0x5f': 14, '0x6': 14, '0x60': 24, '0x61': 14, '0x62': 21, '0x63': 15, '0x64': 9, '0x65': 19, '0x66': 17, '0x67': 18, '0x68': 16, '0x69': 18, '0x6a': 16, '0x6b': 9, '0x6c': 16, '0x6d': 10, '0x6e': 18, '0x6f': 20, '0x7': 8, '0x70': 9, '0x71': 12, '0x72': 16, '0x73': 15, '0x74': 23, '0x75': 17, '0x76': 21, '0x77': 15, '0x78': 21, '0x79': 19, '0x7a': 22, '0x7b': 8, '0x7c': 12, '0x7d': 16, '0x7e': 18, '0x7f': 10, '0x8': 15, '0x9': 9, '0xa': 13, '0xb': 11, '0xc': 20, '0xd': 14, '0xe': 17, '0xf': 14}"
5,632b6e1cfcf0f311e8eac81a,ibmq_jakarta,2022-10-20 19:39:33.663569,evolution,1,True,True,0.3,1.0,"{'0x0': 24, '0x1': 20, '0x10': 13, '0x11': 12, '0x12': 8, '0x13': 14, '0x14': 19, '0x15': 8, '0x16': 18, '0x17': 17, '0x18': 26, '0x19': 14, '0x1a': 28, '0x1b': 21, '0x1c': 12, '0x1d': 10, '0x1e': 19, '0x1f': 13, '0x2': 25, '0x20': 28, '0x21': 29, '0x22': 23, '0x23': 22, '0x24': 7, '0x25': 11, '0x26': 9, '0x27': 9, '0x28': 6, '0x29': 11, '0x2a': 11, '0x2b': 14, '0x2c': 23, '0x2d': 17, '0x2e': 18, '0x2f': 18, '0x3': 22, '0x30': 13, '0x31': 17, '0x32': 17, '0x33': 22, '0x34': 18, '0x35': 14, '0x36': 11, '0x37': 24, '0x38': 19, '0x39': 21, '0x3a': 23, '0x3b': 21, '0x3c': 18, '0x3d': 17, '0x3e': 17, '0x3f': 16, '0x4': 10, '0x40': 18, '0x41': 13, '0x42': 23, '0x43': 21, '0x44': 7, '0x45': 9, '0x46': 5, '0x47': 8, '0x48': 15, '0x49': 6, '0x4a': 17, '0x4b': 12, '0x4c': 19, '0x4d': 16, '0x4e': 16, '0x4f': 17, '0x5': 17, '0x50': 18, '0x51': 10, '0x52': 15, '0x53': 13, '0x54': 11, '0x55': 9, '0x56': 17, '0x57': 16, '0x58': 19, '0x59': 18, '0x5a': 21, '0x5b': 22, '0x5c': 16, '0x5d': 15, '0x5e': 18, '0x5f': 12, '0x6': 19, '0x60': 19, '0x61': 26, '0x62': 23, '0x63': 15, '0x64': 7, '0x65': 12, '0x66': 14, '0x67': 7, '0x68': 14, '0x69': 14, '0x6a': 9, '0x6b': 7, '0x6c': 9, '0x6d': 15, '0x6e': 21, '0x6f': 9, '0x7': 9, '0x70': 18, '0x71': 20, '0x72': 16, '0x73': 14, '0x74': 12, '0x75': 9, '0x76': 10, '0x77': 19, '0x78': 11, '0x79': 25, '0x7a': 21, '0x7b': 19, '0x7c': 9, '0x7d': 10, '0x7e': 18, '0x7f': 18, '0x8': 12, '0x9': 8, '0xa': 17, '0xb': 12, '0xc': 14, '0xd': 16, '0xe': 19, '0xf': 18}"
6,632b6e1cfcf0f311e8eac81a,ibmq_jakarta,2022-10-20 19:39:33.663580,evolution,1,True,True,0.3,1.0,"{'0x0': 16, '0x1': 16, '0x10': 15, '0x11': 11, '0x12': 12, '0x13': 10, '0x14': 27, '0x15': 19, '0x16': 30, '0x17': 19, '0x18': 24, '0x19': 25, '0x1a': 25, '0x1b': 18, '0x1c': 9, '0x1d': 7, '0x1e': 14, '0x1f': 7, '0x2': 18, '0x20': 14, '0x21': 14, '0x22': 13, '0x23': 27, '0x24': 13, '0x25': 8, '0x26': 15, '0x27': 10, '0x28': 9, '0x29': 9, '0x2a': 10, '0x2b': 11, '0x2c': 18, '0x2d': 17, '0x2e': 18, '0x2f': 21, '0x3': 11, '0x30': 22, '0x31': 11, '0x32': 18, '0x33': 17, '0x34': 24, '0x35': 27, '0x36': 38, '0x37': 21, '0x38': 24, '0x39': 20, '0x3a': 34, '0x3b': 18, '0x3c': 11, '0x3d': 16, '0x3e': 23, '0x3f': 6, '0x4': 13, '0x40': 19, '0x41': 14, '0x42': 16, '0x43': 13, '0x44': 11, '0x45': 13, '0x46': 12, '0x47': 6, '0x48': 10, '0x49': 8, '0x4a': 9, '0x4b': 9, '0x4c': 16, '0x4d': 13, '0x4e': 12, '0x4f': 21, '0x5': 16, '0x50': 18, '0x51': 13, '0x52': 16, '0x53': 13, '0x54': 20, '0x55': 29, '0x56': 21, '0x57': 28, '0x58': 25, '0x59': 13, '0x5a': 18, '0x5b': 20, '0x5c': 14, '0x5d': 15, '0x5e': 5, '0x5f': 8, '0x6': 11, '0x60': 15, '0x61': 11, '0x62': 18, '0x63': 18, '0x64': 15, '0x65': 10, '0x66': 13, '0x67': 9, '0x68': 13, '0x69': 11, '0x6a': 12, '0x6b': 12, '0x6c': 16, '0x6d': 10, '0x6e': 18, '0x6f': 18, '0x7': 18, '0x70': 12, '0x71': 7, '0x72': 15, '0x73': 14, '0x74': 18, '0x75': 15, '0x76': 26, '0x77': 25, '0x78': 21, '0x79': 11, '0x7a': 28, '0x7b': 18, '0x7c': 17, '0x7d': 12, '0x7e': 10, '0x7f': 12, '0x8': 12, '0x9': 8, '0xa': 5, '0xb': 6, '0xc': 22, '0xd': 15, '0xe': 11, '0xf': 15}"
7,632b6e1cfcf0f311e8eac81a,ibmq_jakarta,2022-10-20 19:39:33.663589,evolution,1,True,True,0.3,1.0,"{'0x0': 23, '0x1': 20, '0x10': 4, '0x11': 11, '0x12': 17, '0x13': 14, '0x14': 23, '0x15': 15, '0x16': 25, '0x17': 29, '0x18': 18, '0x19': 18, '0x1a': 20, '0x1b': 20, '0x1c': 10, '0x1d': 13, '0x1e': 11, '0x1f': 9, '0x2': 18, '0x20': 21, '0x21': 32, '0x22': 20, '0x23': 24, '0x24': 15, '0x25': 13, '0x26': 8, '0x27': 10, '0x28': 11, '0x29': 13, '0x2a': 8, '0x2b': 11, '0x2c': 26, '0x2d': 20, '0x2e': 14, '0x2f': 19, '0x3': 23, '0x30': 14, '0x31': 11, '0x32': 14, '0x33': 20, '0x34': 22, '0x35': 14, '0x36': 26, '0x37': 19, '0x38': 19, '0x39': 23, '0x3a': 30, '0x3b': 27, '0x3c': 14, '0x3d': 18, '0x3e': 17, '0x3f': 19, '0x4': 14, '0x40': 18, '0x41': 21, '0x42': 12, '0x43': 13, '0x44': 7, '0x45': 7, '0x46': 6, '0x47': 6, '0x48': 18, '0x49': 12, '0x4a': 6, '0x4b': 9, '0x4c': 21, '0x4d': 15, '0x4e': 25, '0x4f': 11, '0x5': 11, '0x50': 5, '0x51': 9, '0x52': 12, '0x53': 10, '0x54': 18, '0x55': 18, '0x56': 21, '0x57': 23, '0x58': 18, '0x59': 22, '0x5a': 17, '0x5b': 21, '0x5c': 8, '0x5d': 16, '0x5e': 16, '0x5f': 12, '0x6': 13, '0x60': 21, '0x61': 16, '0x62': 20, '0x63': 16, '0x64': 11, '0x65': 11, '0x66': 19, '0x67': 13, '0x68': 17, '0x69': 9, '0x6a': 17, '0x6b': 12, '0x6c': 18, '0x6d': 12, '0x6e': 16, '0x6f': 14, '0x7': 11, '0x70': 11, '0x71': 12, '0x72': 3, '0x73': 9, '0x74': 31, '0x75': 17, '0x76': 28, '0x77': 6, '0x78': 19, '0x79': 15, '0x7a': 25, '0x7b': 24, '0x7c': 11, '0x7d': 11, '0x7e': 7, '0x7f': 4, '0x8': 11, '0x9': 6, '0xa': 9, '0xb': 14, '0xc': 17, '0xd': 19, '0xe': 23, '0xf': 11}"
8,632b6e1cfcf0f311e8eac81a,ibmq_jakarta,2022-10-20 19:39:33.663599,evolution,1,True,True,0.3,1.0,"{'0x0': 16, '0x1': 17, '0x10': 21, '0x11': 11, '0x12': 13, '0x13': 15, '0x14': 11, '0x15': 16, '0x16': 18, '0x17': 21, '0x18': 12, '0x19': 21, '0x1a': 19, '0x1b': 23, '0x1c': 9, '0x1d': 14, '0x1e': 14, '0x1f': 15, '0x2': 19, '0x20': 23, '0x21': 15, '0x22': 33, '0x23': 22, '0x24': 8, '0x25': 14, '0x26': 15, '0x27': 13, '0x28': 15, '0x29': 12, '0x2a': 14, '0x2b': 13, '0x2c': 21, '0x2d': 14, '0x2e': 22, '0x2f': 14, '0x3': 19, '0x30': 29, '0x31': 15, '0x32': 13, '0x33': 23, '0x34': 15, '0x35': 15, '0x36': 13, '0x37': 21, '0x38': 14, '0x39': 15, '0x3a': 30, '0x3b': 17, '0x3c': 19, '0x3d': 14, '0x3e': 12, '0x3f': 24, '0x4': 14, '0x40': 12, '0x41': 16, '0x42': 26, '0x43': 31, '0x44': 5, '0x45': 7, '0x46': 12, '0x47': 12, '0x48': 12, '0x49': 10, '0x4a': 9, '0x4b': 15, '0x4c': 6, '0x4d': 12, '0x4e': 19, '0x4f': 25, '0x5': 13, '0x50': 23, '0x51': 20, '0x52': 8, '0x53': 20, '0x54': 16, '0x55': 7, '0x56': 14, '0x57': 15, '0x58': 13, '0x59': 15, '0x5a': 27, '0x5b': 13, '0x5c': 9, '0x5d': 14, '0x5e': 12, '0x5f': 10, '0x6': 18, '0x60': 16, '0x61': 20, '0x62': 18, '0x63': 24, '0x64': 6, '0x65': 15, '0x66': 20, '0x67': 10, '0x68': 15, '0x69': 13, '0x6a': 13, '0x6b': 12, '0x6c': 19, '0x6d': 13, '0x6e': 24, '0x6f': 17, '0x7': 17, '0x70': 21, '0x71': 8, '0x72': 14, '0x73': 11, '0x74': 12, '0x75': 9, '0x76': 22, '0x77': 12, '0x78': 18, '0x79': 13, '0x7a': 29, '0x7b': 13, '0x7c': 9, '0x7d': 12, '0x7e': 15, '0x7f': 9, '0x8': 10, '0x9': 7, '0xa': 21, '0xb': 20, '0xc': 13, '0xd': 13, '0xe': 11, '0xf': 15}"
9,632b6e1cfcf0f311e8eac81a,ibmq_jakarta,2022-10-20 19:39:33.663609,evolution,1,True,True,0.3,1.0,"{'0x0': 14, '0x1': 16, '0x10': 8, '0x11': 12, '0x12': 14, '0x13': 12, '0x14': 17, '0x15': 21, '0x16': 24, '0x17': 19, '0x18': 28, '0x19': 21, '0x1a': 24, '0x1b': 19, '0x1c': 11, '0x1d': 10, '0x1e': 9, '0x1f': 13, '0x2': 19, '0x20': 27, '0x21': 17, '0x22': 20, '0x23': 16, '0x24': 8, '0x25': 11, '0x26': 15, '0x27': 16, '0x28': 10, '0x29': 10, '0x2a': 16, '0x2b': 7, '0x2c': 19, '0x2d': 17, '0x2e': 14, '0x2f': 12, '0x3': 23, '0x30': 22, '0x31': 15, '0x32': 19, '0x33': 12, '0x34': 31, '0x35': 15, '0x36': 21, '0x37': 17, '0x38': 17, '0x39': 24, '0x3a': 27, '0x3b': 24, '0x3c': 11, '0x3d': 20, '0x3e': 24, '0x3f': 10, '0x4': 12, '0x40': 10, '0x41': 20, '0x42': 19, '0x43': 17, '0x44': 4, '0x45': 6, '0x46': 6, '0x47': 13, '0x48': 12, '0x49': 11, '0x4a': 9, '0x4b': 10, '0x4c': 9, '0x4d': 9, '0x4e': 22, '0x4f': 20, '0x5': 19, '0x50': 12, '0x51': 13, '0x52': 9, '0x53': 5, '0x54': 20, '0x55': 17, '0x56': 17, '0x57': 19, '0x58': 20, '0x59': 23, '0x5a': 16, '0x5b': 21, '0x5c': 9, '0x5d': 7, '0x5e': 15, '0x5f': 8, '0x6': 16, '0x60': 8, '0x61': 21, '0x62': 31, '0x63': 20, '0x64': 13, '0x65': 12, '0x66': 12, '0x67': 11, '0x68': 13, '0x69': 12, '0x6a': 12, '0x6b': 15, '0x6c': 17, '0x6d': 15, '0x6e': 20, '0x6f': 28, '0x7': 14, '0x70': 8, '0x71': 11, '0x72': 8, '0x73': 15, '0x74': 23, '0x75': 17, '0x76': 16, '0x77': 25, '0x78': 15, '0x79': 19, '0x7a': 28, '0x7b': 25, '0x7c': 17, '0x7d': 11, '0x7e': 18, '0x7f': 5, '0x8': 16, '0x9': 9, '0xa': 12, '0xb': 13, '0xc': 15, '0xd': 13, '0xe': 18, '0xf': 16}"
