,jobid,machine,date,sim type,nt,pauli twirling,dynamic decoupling,epsilon,mass,counts bare
0,63b58995ccb3671fe6d75d2a,ibmq_jakarta,2023-01-04 08:35:50.159972,evolution,1,False,True,0.3,1.0,"{'0x0': 18, '0x1': 19, '0x10': 7, '0x11': 10, '0x12': 6, '0x13': 12, '0x14': 19, '0x15': 24, '0x16': 17, '0x17': 22, '0x18': 21, '0x19': 12, '0x1a': 20, '0x1b': 12, '0x1c': 8, '0x1d': 9, '0x1e': 6, '0x1f': 4, '0x2': 21, '0x20': 20, '0x21': 22, '0x22': 30, '0x23': 22, '0x24': 11, '0x25': 16, '0x26': 16, '0x27': 9, '0x28': 11, '0x29': 9, '0x2a': 12, '0x2b': 9, '0x2c': 20, '0x2d': 25, '0x2e': 16, '0x2f': 16, '0x3': 19, '0x30': 14, '0x31': 9, '0x32': 16, '0x33': 16, '0x34': 11, '0x35': 27, '0x36': 15, '0x37': 19, '0x38': 17, '0x39': 24, '0x3a': 17, '0x3b': 18, '0x3c': 14, '0x3d': 13, '0x3e': 22, '0x3f': 13, '0x4': 22, '0x40': 23, '0x41': 16, '0x42': 24, '0x43': 16, '0x44': 20, '0x45': 13, '0x46': 22, '0x47': 12, '0x48': 13, '0x49': 10, '0x4a': 11, '0x4b': 12, '0x4c': 22, '0x4d': 20, '0x4e': 13, '0x4f': 20, '0x5': 24, '0x50': 15, '0x51': 11, '0x52': 16, '0x53': 12, '0x54': 25, '0x55': 22, '0x56': 18, '0x57': 11, '0x58': 24, '0x59': 14, '0x5a': 24, '0x5b': 16, '0x5c': 14, '0x5d': 12, '0x5e': 10, '0x5f': 12, '0x6': 12, '0x60': 21, '0x61': 15, '0x62': 21, '0x63': 19, '0x64': 12, '0x65': 11, '0x66': 13, '0x67': 11, '0x68': 9, '0x69': 17, '0x6a': 20, '0x6b': 13, '0x6c': 13, '0x6d': 21, '0x6e': 14, '0x6f': 13, '0x7': 11, '0x70': 16, '0x71': 4, '0x72': 9, '0x73': 16, '0x74': 18, '0x75': 23, '0x76': 19, '0x77': 14, '0x78': 21, '0x79': 22, '0x7a': 13, '0x7b': 17, '0x7c': 15, '0x7d': 12, '0x7e': 13, '0x7f': 11, '0x8': 9, '0x9': 12, '0xa': 11, '0xb': 16, '0xc': 13, '0xd': 14, '0xe': 16, '0xf': 16}"
1,63b58995ccb3671fe6d75d2a,ibmq_jakarta,2023-01-04 08:35:53.537825,rescaling,1,False,True,0.3,1.0,"{'0x0': 32, '0x1': 16, '0x10': 6, '0x11': 3, '0x12': 7, '0x13': 6, '0x14': 31, '0x15': 30, '0x16': 27, '0x17': 25, '0x18': 21, '0x19': 19, '0x1a': 23, '0x1b': 15, '0x1c': 9, '0x1d': 8, '0x1e': 3, '0x1f': 5, '0x2': 33, '0x20': 20, '0x21': 21, '0x22': 9, '0x23': 19, '0x24': 7, '0x25': 10, '0x26': 9, '0x27': 10, '0x28': 4, '0x29': 6, '0x2a': 10, '0x2b': 8, '0x2c': 33, '0x2d': 25, '0x2e': 25, '0x2f': 22, '0x3': 22, '0x30': 8, '0x31': 8, '0x32': 9, '0x33': 10, '0x34': 25, '0x35': 28, '0x36': 22, '0x37': 13, '0x38': 14, '0x39': 21, '0x3a': 13, '0x3b': 16, '0x3c': 2, '0x3d': 7, '0x3e': 5, '0x3f': 6, '0x4': 6, '0x40': 32, '0x41': 23, '0x42': 35, '0x43': 28, '0x44': 10, '0x45': 9, '0x46': 9, '0x47': 11, '0x48': 6, '0x49': 7, '0x4a': 6, '0x4b': 7, '0x4c': 30, '0x4d': 32, '0x4e': 29, '0x4f': 29, '0x5': 9, '0x50': 4, '0x51': 10, '0x52': 9, '0x53': 8, '0x54': 28, '0x55': 26, '0x56': 27, '0x57': 21, '0x58': 26, '0x59': 22, '0x5a': 25, '0x5b': 15, '0x5c': 9, '0x5d': 6, '0x5e': 8, '0x5f': 9, '0x6': 10, '0x60': 24, '0x61': 25, '0x62': 26, '0x63': 20, '0x64': 7, '0x65': 5, '0x66': 9, '0x67': 7, '0x68': 6, '0x69': 9, '0x6a': 9, '0x6b': 6, '0x6c': 29, '0x6d': 21, '0x6e': 23, '0x6f': 22, '0x7': 7, '0x70': 2, '0x71': 15, '0x72': 8, '0x73': 8, '0x74': 23, '0x75': 21, '0x76': 24, '0x77': 13, '0x78': 20, '0x79': 18, '0x7a': 16, '0x7b': 15, '0x7c': 14, '0x7d': 10, '0x7e': 11, '0x7f': 9, '0x8': 5, '0x9': 8, '0xa': 10, '0xb': 12, '0xc': 31, '0xd': 25, '0xe': 31, '0xf': 29}"
2,63b58995ccb3671fe6d75d2a,ibmq_jakarta,2023-01-04 08:35:53.537902,evolution,2,False,True,0.3,1.0,"{'0x0': 9, '0x1': 9, '0x10': 21, '0x11': 9, '0x12': 16, '0x13': 9, '0x14': 13, '0x15': 9, '0x16': 11, '0x17': 7, '0x18': 6, '0x19': 11, '0x1a': 18, '0x1b': 15, '0x1c': 15, '0x1d': 11, '0x1e': 16, '0x1f': 11, '0x2': 19, '0x20': 7, '0x21': 12, '0x22': 11, '0x23': 10, '0x24': 14, '0x25': 22, '0x26': 23, '0x27': 16, '0x28': 10, '0x29': 11, '0x2a': 16, '0x2b': 15, '0x2c': 11, '0x2d': 11, '0x2e': 11, '0x2f': 8, '0x3': 18, '0x30': 30, '0x31': 18, '0x32': 32, '0x33': 22, '0x34': 6, '0x35': 13, '0x36': 11, '0x37': 9, '0x38': 8, '0x39': 7, '0x3a': 13, '0x3b': 6, '0x3c': 32, '0x3d': 23, '0x3e': 18, '0x3f': 14, '0x4': 30, '0x40': 13, '0x41': 8, '0x42': 24, '0x43': 8, '0x44': 24, '0x45': 25, '0x46': 31, '0x47': 20, '0x48': 35, '0x49': 18, '0x4a': 23, '0x4b': 13, '0x4c': 8, '0x4d': 11, '0x4e': 14, '0x4f': 10, '0x5': 31, '0x50': 28, '0x51': 19, '0x52': 25, '0x53': 18, '0x54': 12, '0x55': 14, '0x56': 10, '0x57': 12, '0x58': 9, '0x59': 7, '0x5a': 24, '0x5b': 10, '0x5c': 25, '0x5d': 16, '0x5e': 19, '0x5f': 17, '0x6': 36, '0x60': 4, '0x61': 8, '0x62': 7, '0x63': 8, '0x64': 33, '0x65': 22, '0x66': 20, '0x67': 10, '0x68': 23, '0x69': 15, '0x6a': 30, '0x6b': 20, '0x6c': 9, '0x6d': 5, '0x6e': 11, '0x6f': 3, '0x7': 9, '0x70': 25, '0x71': 22, '0x72': 17, '0x73': 17, '0x74': 11, '0x75': 11, '0x76': 8, '0x77': 8, '0x78': 8, '0x79': 10, '0x7a': 10, '0x7b': 9, '0x7c': 19, '0x7d': 14, '0x7e': 20, '0x7f': 16, '0x8': 31, '0x9': 25, '0xa': 39, '0xb': 27, '0xc': 14, '0xd': 11, '0xe': 11, '0xf': 10}"
3,63b58995ccb3671fe6d75d2a,ibmq_jakarta,2023-01-04 08:35:53.537932,rescaling,2,False,True,0.3,1.0,"{'0x0': 20, '0x1': 26, '0x10': 13, '0x11': 12, '0x12': 9, '0x13': 15, '0x14': 22, '0x15': 27, '0x16': 13, '0x17': 15, '0x18': 17, '0x19': 14, '0x1a': 24, '0x1b': 24, '0x1c': 8, '0x1d': 6, '0x1e': 5, '0x1f': 7, '0x2': 24, '0x20': 26, '0x21': 12, '0x22': 24, '0x23': 24, '0x24': 9, '0x25': 10, '0x26': 10, '0x27': 8, '0x28': 10, '0x29': 8, '0x2a': 12, '0x2b': 11, '0x2c': 37, '0x2d': 19, '0x2e': 20, '0x2f': 20, '0x3': 20, '0x30': 12, '0x31': 6, '0x32': 16, '0x33': 12, '0x34': 23, '0x35': 28, '0x36': 33, '0x37': 9, '0x38': 36, '0x39': 16, '0x3a': 26, '0x3b': 19, '0x3c': 8, '0x3d': 7, '0x3e': 8, '0x3f': 6, '0x4': 11, '0x40': 24, '0x41': 21, '0x42': 36, '0x43': 24, '0x44': 14, '0x45': 5, '0x46': 14, '0x47': 8, '0x48': 7, '0x49': 5, '0x4a': 9, '0x4b': 7, '0x4c': 38, '0x4d': 18, '0x4e': 31, '0x4f': 12, '0x5': 7, '0x50': 11, '0x51': 4, '0x52': 12, '0x53': 8, '0x54': 25, '0x55': 24, '0x56': 24, '0x57': 12, '0x58': 15, '0x59': 19, '0x5a': 20, '0x5b': 15, '0x5c': 5, '0x5d': 4, '0x5e': 8, '0x5f': 5, '0x6': 10, '0x60': 21, '0x61': 12, '0x62': 29, '0x63': 26, '0x64': 11, '0x65': 14, '0x66': 9, '0x67': 13, '0x68': 8, '0x69': 9, '0x6a': 15, '0x6b': 7, '0x6c': 38, '0x6d': 24, '0x6e': 17, '0x6f': 22, '0x7': 4, '0x70': 9, '0x71': 10, '0x72': 18, '0x73': 9, '0x74': 21, '0x75': 29, '0x76': 17, '0x77': 17, '0x78': 16, '0x79': 12, '0x7a': 28, '0x7b': 13, '0x7c': 10, '0x7d': 10, '0x7e': 7, '0x7f': 5, '0x8': 7, '0x9': 7, '0xa': 8, '0xb': 9, '0xc': 35, '0xd': 29, '0xe': 24, '0xf': 13}"
4,63b58995ccb3671fe6d75d2a,ibmq_jakarta,2023-01-04 08:35:53.537959,evolution,3,False,True,0.3,1.0,"{'0x0': 11, '0x1': 9, '0x10': 18, '0x11': 11, '0x12': 15, '0x13': 12, '0x14': 9, '0x15': 6, '0x16': 12, '0x17': 7, '0x18': 9, '0x19': 5, '0x1a': 4, '0x1b': 4, '0x1c': 17, '0x1d': 13, '0x1e': 10, '0x1f': 6, '0x2': 17, '0x20': 10, '0x21': 6, '0x22': 11, '0x23': 15, '0x24': 22, '0x25': 19, '0x26': 21, '0x27': 5, '0x28': 22, '0x29': 17, '0x2a': 17, '0x2b': 9, '0x2c': 7, '0x2d': 9, '0x2e': 10, '0x2f': 3, '0x3': 13, '0x30': 24, '0x31': 17, '0x32': 35, '0x33': 25, '0x34': 16, '0x35': 12, '0x36': 20, '0x37': 6, '0x38': 5, '0x39': 4, '0x3a': 13, '0x3b': 11, '0x3c': 26, '0x3d': 13, '0x3e': 25, '0x3f': 9, '0x4': 38, '0x40': 13, '0x41': 10, '0x42': 8, '0x43': 15, '0x44': 26, '0x45': 21, '0x46': 45, '0x47': 19, '0x48': 25, '0x49': 15, '0x4a': 23, '0x4b': 14, '0x4c': 15, '0x4d': 17, '0x4e': 13, '0x4f': 12, '0x5': 26, '0x50': 26, '0x51': 12, '0x52': 22, '0x53': 16, '0x54': 12, '0x55': 12, '0x56': 17, '0x57': 5, '0x58': 7, '0x59': 3, '0x5a': 9, '0x5b': 9, '0x5c': 25, '0x5d': 14, '0x5e': 16, '0x5f': 11, '0x6': 44, '0x60': 21, '0x61': 9, '0x62': 16, '0x63': 13, '0x64': 34, '0x65': 15, '0x66': 20, '0x67': 12, '0x68': 26, '0x69': 15, '0x6a': 32, '0x6b': 12, '0x6c': 12, '0x6d': 4, '0x6e': 9, '0x6f': 18, '0x7': 18, '0x70': 17, '0x71': 19, '0x72': 30, '0x73': 14, '0x74': 17, '0x75': 8, '0x76': 20, '0x77': 15, '0x78': 15, '0x79': 8, '0x7a': 16, '0x7b': 9, '0x7c': 20, '0x7d': 20, '0x7e': 25, '0x7f': 7, '0x8': 31, '0x9': 21, '0xa': 42, '0xb': 23, '0xc': 16, '0xd': 8, '0xe': 9, '0xf': 17}"
5,63b58995ccb3671fe6d75d2a,ibmq_jakarta,2023-01-04 08:35:53.537985,rescaling,3,False,True,0.3,1.0,"{'0x0': 31, '0x1': 21, '0x10': 15, '0x11': 9, '0x12': 16, '0x13': 20, '0x14': 28, '0x15': 22, '0x16': 18, '0x17': 20, '0x18': 14, '0x19': 17, '0x1a': 17, '0x1b': 31, '0x1c': 11, '0x1d': 16, '0x1e': 8, '0x1f': 7, '0x2': 23, '0x20': 16, '0x21': 11, '0x22': 23, '0x23': 10, '0x24': 25, '0x25': 13, '0x26': 20, '0x27': 10, '0x28': 17, '0x29': 7, '0x2a': 16, '0x2b': 12, '0x2c': 30, '0x2d': 18, '0x2e': 16, '0x2f': 7, '0x3': 19, '0x30': 11, '0x31': 6, '0x32': 12, '0x33': 10, '0x34': 20, '0x35': 19, '0x36': 19, '0x37': 6, '0x38': 14, '0x39': 12, '0x3a': 21, '0x3b': 10, '0x3c': 11, '0x3d': 7, '0x3e': 8, '0x3f': 8, '0x4': 19, '0x40': 25, '0x41': 15, '0x42': 24, '0x43': 19, '0x44': 20, '0x45': 6, '0x46': 17, '0x47': 13, '0x48': 10, '0x49': 8, '0x4a': 16, '0x4b': 13, '0x4c': 22, '0x4d': 26, '0x4e': 16, '0x4f': 10, '0x5': 11, '0x50': 17, '0x51': 6, '0x52': 21, '0x53': 23, '0x54': 32, '0x55': 20, '0x56': 20, '0x57': 17, '0x58': 12, '0x59': 12, '0x5a': 24, '0x5b': 20, '0x5c': 10, '0x5d': 12, '0x5e': 9, '0x5f': 7, '0x6': 13, '0x60': 19, '0x61': 12, '0x62': 18, '0x63': 18, '0x64': 23, '0x65': 4, '0x66': 17, '0x67': 13, '0x68': 21, '0x69': 7, '0x6a': 22, '0x6b': 14, '0x6c': 25, '0x6d': 19, '0x6e': 12, '0x6f': 10, '0x7': 9, '0x70': 5, '0x71': 7, '0x72': 13, '0x73': 15, '0x74': 15, '0x75': 19, '0x76': 23, '0x77': 9, '0x78': 21, '0x79': 12, '0x7a': 18, '0x7b': 11, '0x7c': 16, '0x7d': 11, '0x7e': 8, '0x7f': 18, '0x8': 11, '0x9': 10, '0xa': 14, '0xb': 12, '0xc': 36, '0xd': 25, '0xe': 21, '0xf': 14}"
6,63b58995ccb3671fe6d75d2a,ibmq_jakarta,2023-01-04 08:35:53.538010,evolution,4,False,True,0.3,1.0,"{'0x0': 31, '0x1': 9, '0x10': 15, '0x11': 5, '0x12': 19, '0x13': 11, '0x14': 12, '0x15': 10, '0x16': 10, '0x17': 6, '0x18': 12, '0x19': 10, '0x1a': 10, '0x1b': 7, '0x1c': 5, '0x1d': 7, '0x1e': 24, '0x1f': 9, '0x2': 25, '0x20': 30, '0x21': 14, '0x22': 21, '0x23': 11, '0x24': 15, '0x25': 16, '0x26': 21, '0x27': 8, '0x28': 17, '0x29': 15, '0x2a': 16, '0x2b': 11, '0x2c': 22, '0x2d': 8, '0x2e': 24, '0x2f': 12, '0x3': 11, '0x30': 22, '0x31': 7, '0x32': 23, '0x33': 17, '0x34': 16, '0x35': 18, '0x36': 18, '0x37': 18, '0x38': 14, '0x39': 5, '0x3a': 16, '0x3b': 9, '0x3c': 14, '0x3d': 11, '0x3e': 25, '0x3f': 5, '0x4': 26, '0x40': 26, '0x41': 7, '0x42': 18, '0x43': 10, '0x44': 15, '0x45': 12, '0x46': 20, '0x47': 10, '0x48': 20, '0x49': 21, '0x4a': 32, '0x4b': 18, '0x4c': 16, '0x4d': 8, '0x4e': 26, '0x4f': 13, '0x5': 13, '0x50': 11, '0x51': 8, '0x52': 26, '0x53': 12, '0x54': 17, '0x55': 12, '0x56': 14, '0x57': 13, '0x58': 11, '0x59': 3, '0x5a': 12, '0x5b': 10, '0x5c': 11, '0x5d': 10, '0x5e': 12, '0x5f': 8, '0x6': 25, '0x60': 16, '0x61': 11, '0x62': 18, '0x63': 14, '0x64': 22, '0x65': 20, '0x66': 26, '0x67': 14, '0x68': 18, '0x69': 9, '0x6a': 29, '0x6b': 21, '0x6c': 29, '0x6d': 15, '0x6e': 30, '0x6f': 12, '0x7': 23, '0x70': 20, '0x71': 8, '0x72': 18, '0x73': 13, '0x74': 29, '0x75': 12, '0x76': 28, '0x77': 9, '0x78': 13, '0x79': 4, '0x7a': 17, '0x7b': 10, '0x7c': 11, '0x7d': 12, '0x7e': 16, '0x7f': 6, '0x8': 19, '0x9': 10, '0xa': 37, '0xb': 29, '0xc': 22, '0xd': 13, '0xe': 34, '0xf': 10}"
7,63b58995ccb3671fe6d75d2a,ibmq_jakarta,2023-01-04 08:35:53.538035,rescaling,4,False,True,0.3,1.0,"{'0x0': 23, '0x1': 7, '0x10': 21, '0x11': 4, '0x12': 20, '0x13': 12, '0x14': 15, '0x15': 16, '0x16': 18, '0x17': 12, '0x18': 23, '0x19': 6, '0x1a': 18, '0x1b': 16, '0x1c': 15, '0x1d': 6, '0x1e': 8, '0x1f': 6, '0x2': 24, '0x20': 32, '0x21': 13, '0x22': 28, '0x23': 19, '0x24': 14, '0x25': 25, '0x26': 18, '0x27': 5, '0x28': 9, '0x29': 8, '0x2a': 20, '0x2b': 17, '0x2c': 35, '0x2d': 23, '0x2e': 24, '0x2f': 8, '0x3': 10, '0x30': 17, '0x31': 10, '0x32': 15, '0x33': 10, '0x34': 25, '0x35': 26, '0x36': 23, '0x37': 16, '0x38': 15, '0x39': 9, '0x3a': 20, '0x3b': 13, '0x3c': 8, '0x3d': 9, '0x3e': 13, '0x3f': 10, '0x4': 18, '0x40': 25, '0x41': 4, '0x42': 22, '0x43': 16, '0x44': 11, '0x45': 8, '0x46': 23, '0x47': 9, '0x48': 12, '0x49': 3, '0x4a': 10, '0x4b': 10, '0x4c': 24, '0x4d': 20, '0x4e': 27, '0x4f': 16, '0x5': 13, '0x50': 11, '0x51': 9, '0x52': 24, '0x53': 13, '0x54': 23, '0x55': 17, '0x56': 13, '0x57': 8, '0x58': 19, '0x59': 5, '0x5a': 26, '0x5b': 16, '0x5c': 12, '0x5d': 9, '0x5e': 12, '0x5f': 7, '0x6': 21, '0x60': 20, '0x61': 8, '0x62': 19, '0x63': 14, '0x64': 19, '0x65': 22, '0x66': 18, '0x67': 13, '0x68': 23, '0x69': 4, '0x6a': 20, '0x6b': 11, '0x6c': 33, '0x6d': 28, '0x6e': 16, '0x6f': 11, '0x7': 7, '0x70': 12, '0x71': 7, '0x72': 15, '0x73': 11, '0x74': 25, '0x75': 17, '0x76': 27, '0x77': 18, '0x78': 18, '0x79': 10, '0x7a': 20, '0x7b': 8, '0x7c': 13, '0x7d': 13, '0x7e': 14, '0x7f': 15, '0x8': 15, '0x9': 7, '0xa': 14, '0xb': 14, '0xc': 31, '0xd': 20, '0xe': 18, '0xf': 19}"
8,63b58995ccb3671fe6d75d2a,ibmq_jakarta,2023-01-04 08:35:53.538060,evolution,5,False,True,0.3,1.0,"{'0x0': 31, '0x1': 14, '0x10': 13, '0x11': 4, '0x12': 17, '0x13': 15, '0x14': 16, '0x15': 6, '0x16': 20, '0x17': 12, '0x18': 8, '0x19': 1, '0x1a': 16, '0x1b': 8, '0x1c': 14, '0x1d': 10, '0x1e': 23, '0x1f': 9, '0x2': 34, '0x20': 17, '0x21': 9, '0x22': 17, '0x23': 7, '0x24': 11, '0x25': 5, '0x26': 21, '0x27': 9, '0x28': 11, '0x29': 10, '0x2a': 14, '0x2b': 5, '0x2c': 13, '0x2d': 11, '0x2e': 24, '0x2f': 8, '0x3': 17, '0x30': 5, '0x31': 16, '0x32': 16, '0x33': 17, '0x34': 24, '0x35': 10, '0x36': 35, '0x37': 14, '0x38': 14, '0x39': 8, '0x3a': 12, '0x3b': 13, '0x3c': 14, '0x3d': 12, '0x3e': 24, '0x3f': 11, '0x4': 30, '0x40': 36, '0x41': 12, '0x42': 34, '0x43': 15, '0x44': 17, '0x45': 16, '0x46': 26, '0x47': 7, '0x48': 21, '0x49': 17, '0x4a': 19, '0x4b': 9, '0x4c': 23, '0x4d': 14, '0x4e': 35, '0x4f': 13, '0x5': 14, '0x50': 14, '0x51': 8, '0x52': 17, '0x53': 9, '0x54': 19, '0x55': 18, '0x56': 19, '0x57': 14, '0x58': 15, '0x59': 6, '0x5a': 9, '0x5b': 10, '0x5c': 22, '0x5d': 8, '0x5e': 24, '0x5f': 10, '0x6': 15, '0x60': 24, '0x61': 6, '0x62': 20, '0x63': 12, '0x64': 17, '0x65': 13, '0x66': 22, '0x67': 12, '0x68': 16, '0x69': 8, '0x6a': 21, '0x6b': 8, '0x6c': 22, '0x6d': 9, '0x6e': 23, '0x6f': 10, '0x7': 16, '0x70': 9, '0x71': 4, '0x72': 14, '0x73': 10, '0x74': 15, '0x75': 17, '0x76': 36, '0x77': 22, '0x78': 12, '0x79': 9, '0x7a': 24, '0x7b': 12, '0x7c': 12, '0x7d': 7, '0x7e': 20, '0x7f': 16, '0x8': 20, '0x9': 12, '0xa': 26, '0xb': 15, '0xc': 25, '0xd': 17, '0xe': 41, '0xf': 26}"
9,63b58995ccb3671fe6d75d2a,ibmq_jakarta,2023-01-04 08:35:53.538091,rescaling,5,False,True,0.3,1.0,"{'0x0': 31, '0x1': 10, '0x10': 20, '0x11': 6, '0x12': 26, '0x13': 18, '0x14': 23, '0x15': 8, '0x16': 18, '0x17': 12, '0x18': 14, '0x19': 8, '0x1a': 24, '0x1b': 13, '0x1c': 12, '0x1d': 8, '0x1e': 11, '0x1f': 9, '0x2': 23, '0x20': 18, '0x21': 12, '0x22': 19, '0x23': 14, '0x24': 25, '0x25': 14, '0x26': 17, '0x27': 14, '0x28': 14, '0x29': 8, '0x2a': 27, '0x2b': 12, '0x2c': 29, '0x2d': 15, '0x2e': 18, '0x2f': 8, '0x3': 12, '0x30': 18, '0x31': 9, '0x32': 13, '0x33': 10, '0x34': 17, '0x35': 9, '0x36': 20, '0x37': 6, '0x38': 20, '0x39': 8, '0x3a': 17, '0x3b': 9, '0x3c': 13, '0x3d': 6, '0x3e': 18, '0x3f': 11, '0x4': 25, '0x40': 27, '0x41': 10, '0x42': 29, '0x43': 10, '0x44': 23, '0x45': 8, '0x46': 23, '0x47': 8, '0x48': 15, '0x49': 8, '0x4a': 21, '0x4b': 13, '0x4c': 30, '0x4d': 13, '0x4e': 18, '0x4f': 15, '0x5': 9, '0x50': 28, '0x51': 10, '0x52': 20, '0x53': 21, '0x54': 21, '0x55': 12, '0x56': 11, '0x57': 16, '0x58': 27, '0x59': 5, '0x5a': 25, '0x5b': 11, '0x5c': 19, '0x5d': 8, '0x5e': 15, '0x5f': 11, '0x6': 23, '0x60': 8, '0x61': 7, '0x62': 23, '0x63': 13, '0x64': 21, '0x65': 14, '0x66': 27, '0x67': 14, '0x68': 16, '0x69': 11, '0x6a': 26, '0x6b': 18, '0x6c': 28, '0x6d': 16, '0x6e': 16, '0x6f': 10, '0x7': 17, '0x70': 17, '0x71': 5, '0x72': 15, '0x73': 18, '0x74': 17, '0x75': 8, '0x76': 17, '0x77': 10, '0x78': 14, '0x79': 7, '0x7a': 22, '0x7b': 17, '0x7c': 12, '0x7d': 6, '0x7e': 13, '0x7f': 6, '0x8': 21, '0x9': 15, '0xa': 23, '0xb': 18, '0xc': 28, '0xd': 17, '0xe': 17, '0xf': 10}"
