,sim type,nt,pauli twirling,dynamic decoupling,epsilon,mass,counts bare,counts mitigated
0,evolution,1,True,False,0.4,1.0,"{'0x0': 182, '0x1': 73, '0x2': 110, '0x3': 186, '0x4': 70, '0x5': 127, '0x6': 187, '0x7': 65}","{'0x0': 0.17984564003422177, '0x1': 0.06222464075526384, '0x2': 0.08898304329522569, '0x3': 0.20500283417948775, '0x4': 0.05474306830380351, '0x5': 0.14203479585925624, '0x6': 0.20065347752432214, '0x7': 0.06651250004841912}"
1,evolution,1,True,False,0.4,1.0,"{'0x0': 182, '0x1': 73, '0x2': 110, '0x3': 186, '0x4': 70, '0x5': 127, '0x6': 187, '0x7': 65}","{'0x0': 0.17984564003422177, '0x1': 0.06222464075526384, '0x2': 0.08898304329522569, '0x3': 0.20500283417948775, '0x4': 0.05474306830380351, '0x5': 0.14203479585925624, '0x6': 0.20065347752432214, '0x7': 0.06651250004841912}"
2,evolution,1,True,False,0.4,1.0,"{'0x0': 182, '0x1': 73, '0x2': 110, '0x3': 186, '0x4': 70, '0x5': 127, '0x6': 187, '0x7': 65}","{'0x0': 0.17984564003422177, '0x1': 0.06222464075526384, '0x2': 0.08898304329522569, '0x3': 0.20500283417948775, '0x4': 0.05474306830380351, '0x5': 0.14203479585925624, '0x6': 0.20065347752432214, '0x7': 0.06651250004841912}"
3,evolution,1,True,False,0.4,1.0,"{'0x0': 182, '0x1': 73, '0x2': 110, '0x3': 186, '0x4': 70, '0x5': 127, '0x6': 187, '0x7': 65}","{'0x0': 0.17984564003422177, '0x1': 0.06222464075526384, '0x2': 0.08898304329522569, '0x3': 0.20500283417948775, '0x4': 0.05474306830380351, '0x5': 0.14203479585925624, '0x6': 0.20065347752432214, '0x7': 0.06651250004841912}"
4,evolution,1,True,False,0.4,1.0,"{'0x0': 182, '0x1': 73, '0x2': 110, '0x3': 186, '0x4': 70, '0x5': 127, '0x6': 187, '0x7': 65}","{'0x0': 0.17984564003422177, '0x1': 0.06222464075526384, '0x2': 0.08898304329522569, '0x3': 0.20500283417948775, '0x4': 0.05474306830380351, '0x5': 0.14203479585925624, '0x6': 0.20065347752432214, '0x7': 0.06651250004841912}"
5,evolution,1,True,False,0.4,1.0,"{'0x0': 182, '0x1': 73, '0x2': 110, '0x3': 186, '0x4': 70, '0x5': 127, '0x6': 187, '0x7': 65}","{'0x0': 0.17984564003422177, '0x1': 0.06222464075526384, '0x2': 0.08898304329522569, '0x3': 0.20500283417948775, '0x4': 0.05474306830380351, '0x5': 0.14203479585925624, '0x6': 0.20065347752432214, '0x7': 0.06651250004841912}"
6,evolution,1,True,False,0.4,1.0,"{'0x0': 182, '0x1': 73, '0x2': 110, '0x3': 186, '0x4': 70, '0x5': 127, '0x6': 187, '0x7': 65}","{'0x0': 0.17984564003422177, '0x1': 0.06222464075526384, '0x2': 0.08898304329522569, '0x3': 0.20500283417948775, '0x4': 0.05474306830380351, '0x5': 0.14203479585925624, '0x6': 0.20065347752432214, '0x7': 0.06651250004841912}"
7,evolution,1,True,False,0.4,1.0,"{'0x0': 182, '0x1': 73, '0x2': 110, '0x3': 186, '0x4': 70, '0x5': 127, '0x6': 187, '0x7': 65}","{'0x0': 0.17984564003422177, '0x1': 0.06222464075526384, '0x2': 0.08898304329522569, '0x3': 0.20500283417948775, '0x4': 0.05474306830380351, '0x5': 0.14203479585925624, '0x6': 0.20065347752432214, '0x7': 0.06651250004841912}"
8,evolution,1,True,False,0.4,1.0,"{'0x0': 182, '0x1': 73, '0x2': 110, '0x3': 186, '0x4': 70, '0x5': 127, '0x6': 187, '0x7': 65}","{'0x0': 0.17984564003422177, '0x1': 0.06222464075526384, '0x2': 0.08898304329522569, '0x3': 0.20500283417948775, '0x4': 0.05474306830380351, '0x5': 0.14203479585925624, '0x6': 0.20065347752432214, '0x7': 0.06651250004841912}"
9,evolution,1,True,False,0.4,1.0,"{'0x0': 182, '0x1': 73, '0x2': 110, '0x3': 186, '0x4': 70, '0x5': 127, '0x6': 187, '0x7': 65}","{'0x0': 0.17984564003422177, '0x1': 0.06222464075526384, '0x2': 0.08898304329522569, '0x3': 0.20500283417948775, '0x4': 0.05474306830380351, '0x5': 0.14203479585925624, '0x6': 0.20065347752432214, '0x7': 0.06651250004841912}"
