,jobid,machine,date,sim type,nt,pauli twirling,dynamic decoupling,epsilon,mass,counts bare
0,63067c74e9f73b717085437c,ibm_nairobi,2022-09-12 13:28:30.382798,evolution,1,True,True,0.3,1.0,"{'0x0': 379, '0x1': 152, '0x2': 154, '0x3': 452, '0x4': 114, '0x5': 301, '0x6': 341, '0x7': 107}"
1,63067c74e9f73b717085437c,ibm_nairobi,2022-09-12 13:28:31.777121,evolution,1,True,True,0.3,1.0,"{'0x0': 384, '0x1': 146, '0x2': 126, '0x3': 375, '0x4': 132, '0x5': 398, '0x6': 332, '0x7': 107}"
2,63067c74e9f73b717085437c,ibm_nairobi,2022-09-12 13:28:31.795094,evolution,1,True,True,0.3,1.0,"{'0x0': 348, '0x1': 145, '0x2': 171, '0x3': 397, '0x4': 87, '0x5': 357, '0x6': 371, '0x7': 124}"
3,63067c74e9f73b717085437c,ibm_nairobi,2022-09-12 13:28:31.798588,evolution,1,True,True,0.3,1.0,"{'0x0': 390, '0x1': 147, '0x2': 139, '0x3': 395, '0x4': 137, '0x5': 310, '0x6': 376, '0x7': 106}"
4,63067c74e9f73b717085437c,ibm_nairobi,2022-09-12 13:28:31.801156,evolution,1,True,True,0.3,1.0,"{'0x0': 405, '0x1': 140, '0x2': 162, '0x3': 374, '0x4': 128, '0x5': 379, '0x6': 312, '0x7': 100}"
5,63067c74e9f73b717085437c,ibm_nairobi,2022-09-12 13:28:31.803111,evolution,1,True,True,0.3,1.0,"{'0x0': 374, '0x1': 131, '0x2': 141, '0x3': 422, '0x4': 115, '0x5': 314, '0x6': 393, '0x7': 110}"
6,63067c74e9f73b717085437c,ibm_nairobi,2022-09-12 13:28:31.805774,evolution,1,True,True,0.3,1.0,"{'0x0': 380, '0x1': 170, '0x2': 112, '0x3': 381, '0x4': 118, '0x5': 388, '0x6': 362, '0x7': 89}"
7,63067c74e9f73b717085437c,ibm_nairobi,2022-09-12 13:28:31.807648,evolution,1,True,True,0.3,1.0,"{'0x0': 397, '0x1': 173, '0x2': 140, '0x3': 408, '0x4': 118, '0x5': 325, '0x6': 317, '0x7': 122}"
8,63067c74e9f73b717085437c,ibm_nairobi,2022-09-12 13:28:31.809331,evolution,1,True,True,0.3,1.0,"{'0x0': 378, '0x1': 150, '0x2': 141, '0x3': 463, '0x4': 121, '0x5': 269, '0x6': 371, '0x7': 107}"
9,63067c74e9f73b717085437c,ibm_nairobi,2022-09-12 13:28:31.810945,evolution,1,True,True,0.3,1.0,"{'0x0': 412, '0x1': 153, '0x2': 141, '0x3': 388, '0x4': 136, '0x5': 361, '0x6': 307, '0x7': 102}"
10,63067c74e9f73b717085437c,ibm_nairobi,2022-09-12 13:28:31.812922,evolution,1,True,True,0.3,1.0,"{'0x0': 368, '0x1': 179, '0x2': 140, '0x3': 373, '0x4': 119, '0x5': 395, '0x6': 341, '0x7': 85}"
11,63067c74e9f73b717085437c,ibm_nairobi,2022-09-12 13:28:31.826985,evolution,1,True,True,0.3,1.0,"{'0x0': 381, '0x1': 181, '0x2': 132, '0x3': 399, '0x4': 110, '0x5': 332, '0x6': 343, '0x7': 122}"
12,63067c74e9f73b717085437c,ibm_nairobi,2022-09-12 13:28:31.828926,evolution,1,True,True,0.3,1.0,"{'0x0': 441, '0x1': 158, '0x2': 124, '0x3': 372, '0x4': 134, '0x5': 350, '0x6': 314, '0x7': 107}"
13,63067c74e9f73b717085437c,ibm_nairobi,2022-09-12 13:28:31.831150,evolution,1,True,True,0.3,1.0,"{'0x0': 397, '0x1': 169, '0x2': 126, '0x3': 383, '0x4': 122, '0x5': 342, '0x6': 347, '0x7': 114}"
14,63067c74e9f73b717085437c,ibm_nairobi,2022-09-12 13:28:31.833522,evolution,1,True,True,0.3,1.0,"{'0x0': 359, '0x1': 132, '0x2': 140, '0x3': 417, '0x4': 117, '0x5': 311, '0x6': 398, '0x7': 126}"
