,jobid,machine,date,sim type,nt,pauli twirling,dynamic decoupling,epsilon,mass,counts bare,counts mitigated
0,cer3g3oc7aa76laosflg,ibmq_jakarta,2023-01-04 20:58:52.589961,evolution,1,True,False,0.3,1.0,"{'0x0': 546, '0x1': 233, '0x2': 99, '0x3': 169, '0x4': 188, '0x5': 484, '0x6': 191, '0x7': 90}","{'0x0': 0.287982869646637, '0x1': 0.06287261158598352, '0x2': 0.02939434255617075, '0x3': 0.1265112157210334, '0x4': 0.03458043788315637, '0x5': 0.26987543619557847, '0x6': 0.15352165622321776, '0x7': 0.035261430188222774}"
1,cer3g3oc7aa76laosflg,ibmq_jakarta,2023-01-04 20:58:54.045978,evolution,1,True,False,0.3,1.0,"{'0x0': 452, '0x1': 297, '0x2': 124, '0x3': 161, '0x4': 261, '0x5': 443, '0x6': 157, '0x7': 105}","{'0x0': 0.2187560271355694, '0x1': 0.10761670922026435, '0x2': 0.06085250209488691, '0x3': 0.11266912030693826, '0x4': 0.09402251255008807, '0x5': 0.23674760823693533, '0x6': 0.11588911993878746, '0x7': 0.05344640051653016}"
2,cer3g3oc7aa76laosflg,ibmq_jakarta,2023-01-04 20:58:54.045978,evolution,1,True,False,0.3,1.0,"{'0x0': 535, '0x1': 194, '0x2': 96, '0x3': 138, '0x4': 203, '0x5': 541, '0x6': 200, '0x7': 93}","{'0x0': 0.282707333635063, '0x1': 0.048725637577117994, '0x2': 0.02829790994257546, '0x3': 0.10266083657184395, '0x4': 0.03937973275458876, '0x5': 0.3046451714911057, '0x6': 0.1604140448402379, '0x7': 0.03316933318746717}"
3,cer3g3oc7aa76laosflg,ibmq_jakarta,2023-01-04 20:58:54.045978,evolution,1,True,False,0.3,1.0,"{'0x0': 511, '0x1': 214, '0x2': 91, '0x3': 195, '0x4': 202, '0x5': 509, '0x6': 194, '0x7': 84}","{'0x0': 0.2702712649052108, '0x1': 0.0417854385153211, '0x2': 0.024327272185565407, '0x3': 0.15136164028234556, '0x4': 0.04168544703554204, '0x5': 0.28783294111901775, '0x6': 0.15536406353832696, '0x7': 0.02737193241867046}"
4,cer3g3oc7aa76laosflg,ibmq_jakarta,2023-01-04 20:58:54.045978,evolution,1,True,False,0.3,1.0,"{'0x0': 536, '0x1': 195, '0x2': 98, '0x3': 152, '0x4': 195, '0x5': 549, '0x6': 183, '0x7': 92}","{'0x0': 0.28273084530586734, '0x1': 0.04414929793282232, '0x2': 0.03012859933028769, '0x3': 0.11489068696831402, '0x4': 0.040345727020625256, '0x5': 0.3100635070300625, '0x6': 0.14589047681646158, '0x7': 0.03180085959555932}"
5,cer3g3oc7aa76laosflg,ibmq_jakarta,2023-01-04 20:58:54.045978,evolution,1,True,False,0.3,1.0,"{'0x0': 550, '0x1': 231, '0x2': 104, '0x3': 167, '0x4': 181, '0x5': 528, '0x6': 151, '0x7': 88}","{'0x0': 0.2882578630955389, '0x1': 0.061101324093777325, '0x2': 0.03500885679749956, '0x3': 0.1250340265815342, '0x4': 0.043593997849842796, '0x5': 0.2980724559864822, '0x6': 0.11840367208582406, '0x7': 0.03052780350950106}"
6,cer3g3oc7aa76laosflg,ibmq_jakarta,2023-01-04 20:58:54.045978,evolution,1,True,False,0.3,1.0,"{'0x0': 462, '0x1': 319, '0x2': 133, '0x3': 164, '0x4': 248, '0x5': 409, '0x6': 159, '0x7': 106}","{'0x0': 0.22149995377701856, '0x1': 0.12081396865522209, '0x2': 0.0676768688468734, '0x3': 0.11314464079356713, '0x4': 0.08602892370078966, '0x5': 0.21506374727356312, '0x6': 0.11857018728527689, '0x7': 0.057201709667689164}"
7,cer3g3oc7aa76laosflg,ibmq_jakarta,2023-01-04 20:58:54.045978,evolution,1,True,False,0.3,1.0,"{'0x0': 452, '0x1': 283, '0x2': 120, '0x3': 178, '0x4': 293, '0x5': 417, '0x6': 156, '0x7': 101}","{'0x0': 0.21977926962219538, '0x1': 0.09374441529912327, '0x2': 0.05693747249945084, '0x3': 0.1289049951251845, '0x4': 0.11479188146667044, '0x5': 0.22150128342886083, '0x6': 0.11237476826188025, '0x7': 0.05196591429663455}"
8,cer3g3oc7aa76laosflg,ibmq_jakarta,2023-01-04 20:58:54.045978,evolution,1,True,False,0.3,1.0,"{'0x0': 494, '0x1': 316, '0x2': 87, '0x3': 221, '0x4': 252, '0x5': 381, '0x6': 152, '0x7': 97}","{'0x0': 0.2572958118161949, '0x1': 0.09863248061114684, '0x2': 0.023602239675542876, '0x3': 0.16473314843799858, '0x4': 0.09121864319363202, '0x5': 0.20083841236437436, '0x6': 0.11261572365700709, '0x7': 0.051063540244103395}"
9,cer3g3oc7aa76laosflg,ibmq_jakarta,2023-01-04 20:58:54.045978,evolution,1,True,False,0.3,1.0,"{'0x0': 643, '0x1': 222, '0x2': 85, '0x3': 192, '0x4': 186, '0x5': 434, '0x6': 162, '0x7': 76}","{'0x0': 0.351105819619648, '0x1': 0.047713204162401386, '0x2': 0.009665845427725793, '0x3': 0.14845576041202918, '0x4': 0.044165129242108435, '0x5': 0.24346273342272867, '0x6': 0.12820502930877292, '0x7': 0.0272264784045856}"
