,jobid,machine,date,sim type,nt,pauli twirling,dynamic decoupling,epsilon,mass,counts bare
0,63b58edd38d550e80d676096,ibmq_jakarta,2023-01-04 08:40:56.201477,evolution,1,False,True,0.3,2.0,"{'0x0': 251, '0x1': 283, '0x2': 280, '0x3': 261, '0x4': 241, '0x5': 238, '0x6': 228, '0x7': 218}"
1,63b58edd38d550e80d676096,ibmq_jakarta,2023-01-04 08:40:58.364070,rescaling,1,False,True,0.3,2.0,"{'0x0': 481, '0x1': 54, '0x2': 62, '0x3': 514, '0x4': 44, '0x5': 395, '0x6': 423, '0x7': 27}"
2,63b58edd38d550e80d676096,ibmq_jakarta,2023-01-04 08:40:58.364126,evolution,2,False,True,0.3,2.0,"{'0x0': 85, '0x1': 483, '0x2': 457, '0x3': 62, '0x4': 382, '0x5': 47, '0x6': 70, '0x7': 414}"
3,63b58edd38d550e80d676096,ibmq_jakarta,2023-01-04 08:40:58.364143,rescaling,2,False,True,0.3,2.0,"{'0x0': 436, '0x1': 89, '0x2': 52, '0x3': 512, '0x4': 56, '0x5': 399, '0x6': 396, '0x7': 60}"
4,63b58edd38d550e80d676096,ibmq_jakarta,2023-01-04 08:40:58.364159,evolution,3,False,True,0.3,2.0,"{'0x0': 287, '0x1': 249, '0x2': 259, '0x3': 261, '0x4': 168, '0x5': 300, '0x6': 255, '0x7': 221}"
5,63b58edd38d550e80d676096,ibmq_jakarta,2023-01-04 08:40:58.364174,rescaling,3,False,True,0.3,2.0,"{'0x0': 413, '0x1': 80, '0x2': 79, '0x3': 530, '0x4': 58, '0x5': 429, '0x6': 348, '0x7': 63}"
6,63b58edd38d550e80d676096,ibmq_jakarta,2023-01-04 08:40:58.364192,evolution,4,False,True,0.3,2.0,"{'0x0': 433, '0x1': 107, '0x2': 74, '0x3': 484, '0x4': 89, '0x5': 350, '0x6': 383, '0x7': 80}"
7,63b58edd38d550e80d676096,ibmq_jakarta,2023-01-04 08:40:58.364207,rescaling,4,False,True,0.3,2.0,"{'0x0': 387, '0x1': 92, '0x2': 109, '0x3': 581, '0x4': 69, '0x5': 365, '0x6': 331, '0x7': 66}"
8,63b58edd38d550e80d676096,ibmq_jakarta,2023-01-04 08:40:58.364221,evolution,5,False,True,0.3,2.0,"{'0x0': 232, '0x1': 215, '0x2': 223, '0x3': 360, '0x4': 297, '0x5': 200, '0x6': 200, '0x7': 273}"
9,63b58edd38d550e80d676096,ibmq_jakarta,2023-01-04 08:40:58.364236,rescaling,5,False,True,0.3,2.0,"{'0x0': 323, '0x1': 117, '0x2': 99, '0x3': 563, '0x4': 80, '0x5': 384, '0x6': 367, '0x7': 67}"
