,jobid,machine,date,sim type,nt,pauli twirling,dynamic decoupling,epsilon,mass,counts bare,counts mitigated
0,ceq5tnbu4l1fkdjq6esg,ibmq_jakarta,2023-01-03 10:59:12.594698,evolution,1,False,False,0.3,2.0,"{'0x0': 410, '0x1': 91, '0x2': 376, '0x3': 111, '0x4': 385, '0x5': 118, '0x6': 403, '0x7': 106}","{'0x0': 0.116909450156645, '0x1': 0.12336706543010846, '0x2': 0.08047281548219966, '0x3': 0.16020605613643416, '0x4': 0.0796450294898719, '0x5': 0.1739771105593622, '0x6': 0.10574782448850839, '0x7': 0.15967464825687022}"
1,ceq5tnbu4l1fkdjq6esg,ibmq_jakarta,2023-01-03 11:00:30.142441,rescaling,1,False,False,0.3,2.0,"{'0x0': 501, '0x1': 42, '0x2': 255, '0x3': 123, '0x4': 405, '0x5': 202, '0x6': 420, '0x7': 52}","{'0x0': 0.2184726070814148, '0x1': 0.04416966143275137, '0x2': 0.00208912381817602, '0x3': 0.18625102752288017, '0x4': -0.0006637557591812426, '0x5': 0.3042041471776751, '0x6': 0.17334365165384885, '0x7': 0.07213353707243499}"
2,ceq5tnbu4l1fkdjq6esg,ibmq_jakarta,2023-01-03 11:00:30.142506,evolution,2,False,False,0.3,2.0,"{'0x0': 383, '0x1': 123, '0x2': 393, '0x3': 83, '0x4': 463, '0x5': 73, '0x6': 345, '0x7': 137}","{'0x0': 0.06631767835837898, '0x1': 0.17599586120826294, '0x2': 0.12097219858086997, '0x3': 0.11451308340130967, '0x4': 0.16999684938242643, '0x5': 0.10123666379136591, '0x6': 0.04044054640559728, '0x7': 0.21052711887178874}"
3,ceq5tnbu4l1fkdjq6esg,ibmq_jakarta,2023-01-03 11:00:30.142519,rescaling,2,False,False,0.3,2.0,"{'0x0': 582, '0x1': 47, '0x2': 260, '0x3': 95, '0x4': 433, '0x5': 175, '0x6': 355, '0x7': 53}","{'0x0': 0.2533997312295306, '0x1': 0.05361100000560601, '0x2': 0.03409476415153749, '0x3': 0.14245189861539417, '0x4': 0.04284955640357882, '0x5': 0.2620925743141465, '0x6': 0.13616312524884588, '0x7': 0.07533735003136044}"
4,ceq5tnbu4l1fkdjq6esg,ibmq_jakarta,2023-01-03 11:00:30.142530,evolution,3,False,False,0.3,2.0,"{'0x0': 477, '0x1': 127, '0x2': 336, '0x3': 83, '0x4': 447, '0x5': 95, '0x6': 364, '0x7': 71}","{'0x0': 0.11327313483641648, '0x1': 0.1797249910275315, '0x2': 0.08739722002801738, '0x3': 0.11897334097672153, '0x4': 0.13616588882973396, '0x5': 0.1381575985431329, '0x6': 0.12069964147329634, '0x7': 0.10560818428514984}"
5,ceq5tnbu4l1fkdjq6esg,ibmq_jakarta,2023-01-03 11:00:30.142542,rescaling,3,False,False,0.3,2.0,"{'0x0': 548, '0x1': 49, '0x2': 283, '0x3': 84, '0x4': 481, '0x5': 185, '0x6': 314, '0x7': 56}","{'0x0': 0.23236089087975842, '0x1': 0.05526329348369694, '0x2': 0.057681302384623885, '0x3': 0.12302363783104538, '0x4': 0.06013816900554763, '0x5': 0.28005564042624004, '0x6': 0.11034595351954374, '0x7': 0.08113111246954394}"
6,ceq5tnbu4l1fkdjq6esg,ibmq_jakarta,2023-01-03 11:00:30.142552,evolution,4,False,False,0.3,2.0,"{'0x0': 499, '0x1': 66, '0x2': 364, '0x3': 99, '0x4': 388, '0x5': 131, '0x6': 384, '0x7': 69}","{'0x0': 0.18881011506756876, '0x1': 0.08414844328395756, '0x2': 0.0847002263348929, '0x3': 0.14434037356273907, '0x4': 0.06617929627219364, '0x5': 0.196125847547945, '0x6': 0.13429361591386144, '0x7': 0.10140208201684167}"
7,ceq5tnbu4l1fkdjq6esg,ibmq_jakarta,2023-01-03 11:00:30.142563,rescaling,4,False,False,0.3,2.0,"{'0x0': 544, '0x1': 80, '0x2': 299, '0x3': 97, '0x4': 442, '0x5': 170, '0x6': 300, '0x7': 68}","{'0x0': 0.19934688446325693, '0x1': 0.10276523988257995, '0x2': 0.05389529737304876, '0x3': 0.14178298232151845, '0x4': 0.05572293142270217, '0x5': 0.25602223482091285, '0x6': 0.0902573747792696, '0x7': 0.10020705493671128}"
8,ceq5tnbu4l1fkdjq6esg,ibmq_jakarta,2023-01-03 11:00:30.142574,evolution,5,False,False,0.3,2.0,"{'0x0': 416, '0x1': 88, '0x2': 420, '0x3': 99, '0x4': 393, '0x5': 114, '0x6': 369, '0x7': 101}","{'0x0': 0.12185699001810987, '0x1': 0.11944652470513084, '0x2': 0.11650745335904288, '0x3': 0.1415577187864033, '0x4': 0.08830657756871467, '0x5': 0.16790800491590394, '0x6': 0.09198926613547226, '0x7': 0.15242746451122216}"
9,ceq5tnbu4l1fkdjq6esg,ibmq_jakarta,2023-01-03 11:00:30.142585,rescaling,5,False,False,0.3,2.0,"{'0x0': 666, '0x1': 93, '0x2': 234, '0x3': 70, '0x4': 499, '0x5': 159, '0x6': 239, '0x7': 40}","{'0x0': 0.24909222221548552, '0x1': 0.12466931812762161, '0x2': 0.04728357378952193, '0x3': 0.10336026332342065, '0x4': 0.09606117831695225, '0x5': 0.23682711298977235, '0x6': 0.08603192519957151, '0x7': 0.05667440603765421}"
10,ceq5tnbu4l1fkdjq6esg,ibmq_jakarta,2023-01-03 11:00:30.142596,evolution,6,False,False,0.3,2.0,"{'0x0': 472, '0x1': 145, '0x2': 341, '0x3': 97, '0x4': 417, '0x5': 102, '0x6': 335, '0x7': 91}","{'0x0': 0.09411678922221853, '0x1': 0.20628076830757786, '0x2': 0.07864196497737276, '0x3': 0.14122935029531272, '0x4': 0.11239047465458785, '0x5': 0.14602930788295582, '0x6': 0.08416895296400265, '0x7': 0.13714239169597175}"
11,ceq5tnbu4l1fkdjq6esg,ibmq_jakarta,2023-01-03 11:00:30.142607,rescaling,6,False,False,0.3,2.0,"{'0x0': 598, '0x1': 107, '0x2': 236, '0x3': 70, '0x4': 537, '0x5': 123, '0x6': 244, '0x7': 85}","{'0x0': 0.19805855392433036, '0x1': 0.14805860917512328, '0x2': 0.050119664607804225, '0x3': 0.10128126950060143, '0x4': 0.1551446868667543, '0x5': 0.17803107932672127, '0x6': 0.0407560419695321, '0x7': 0.1285500946291329}"
12,ceq5tnbu4l1fkdjq6esg,ibmq_jakarta,2023-01-03 11:00:30.142618,evolution,7,False,False,0.3,2.0,"{'0x0': 455, '0x1': 92, '0x2': 380, '0x3': 105, '0x4': 411, '0x5': 93, '0x6': 369, '0x7': 95}","{'0x0': 0.13804142782236956, '0x1': 0.12586286850178205, '0x2': 0.09028459900553507, '0x3': 0.15418752659378804, '0x4': 0.11750398972028192, '0x5': 0.13269104055489314, '0x6': 0.09824893082023455, '0x7': 0.14317961698111573}"
13,ceq5tnbu4l1fkdjq6esg,ibmq_jakarta,2023-01-03 11:00:30.142629,rescaling,7,False,False,0.3,2.0,"{'0x0': 604, '0x1': 125, '0x2': 267, '0x3': 59, '0x4': 535, '0x5': 130, '0x6': 226, '0x7': 54}","{'0x0': 0.18223279226118547, '0x1': 0.1756732350056225, '0x2': 0.07768016054010889, '0x3': 0.08468268499556497, '0x4': 0.14621019271215238, '0x5': 0.19043344332070292, '0x6': 0.06337446214205565, '0x7': 0.07971302902260714}"
