,jobid,machine,date,sim type,nt,pauli twirling,dynamic decoupling,epsilon,mass,counts bare,counts mitigated
0,ceq42870c79flplhsis0,ibm_nairobi,2023-01-03 11:18:55.253897,evolution,1,False,False,0.3,1.0,"{'0x0': 397, '0x1': 154, '0x2': 203, '0x3': 177, '0x4': 199, '0x5': 357, '0x6': 369, '0x7': 144}","{'0x0': 0.2004236454960344, '0x1': 0.06772706573693275, '0x2': 0.08833010157694537, '0x3': 0.09020841926116849, '0x4': 0.08895886364669825, '0x5': 0.19659576257070965, '0x6': 0.19814763279540923, '0x7': 0.06960850891610185}"
1,ceq42870c79flplhsis0,ibm_nairobi,2023-01-03 11:18:57.573585,rescaling,1,False,False,0.3,1.0,"{'0x0': 310, '0x1': 69, '0x2': 81, '0x3': 555, '0x4': 63, '0x5': 279, '0x6': 580, '0x7': 63}","{'0x0': 0.16308384655603766, '0x1': 0.013364036719505742, '0x2': 0.012796374247289855, '0x3': 0.3137332457855039, '0x4': 0.006517151416592404, '0x5': 0.1526600975270307, '0x6': 0.32252586758950297, '0x7': 0.015319380158536877}"
2,ceq42870c79flplhsis0,ibm_nairobi,2023-01-03 11:18:57.573585,evolution,2,False,False,0.3,1.0,"{'0x0': 211, '0x1': 276, '0x2': 223, '0x3': 426, '0x4': 148, '0x5': 156, '0x6': 323, '0x7': 237}","{'0x0': 0.09861542263879065, '0x1': 0.13567458411645983, '0x2': 0.10340603140422251, '0x3': 0.23199959483567487, '0x4': 0.06469493876343746, '0x5': 0.0736615533177834, '0x6': 0.1699167464206536, '0x7': 0.12203112850297772}"
3,ceq42870c79flplhsis0,ibm_nairobi,2023-01-03 11:18:57.573585,rescaling,2,False,False,0.3,1.0,"{'0x0': 609, '0x1': 104, '0x2': 95, '0x3': 147, '0x4': 125, '0x5': 505, '0x6': 314, '0x7': 101}","{'0x0': 0.3205898630910157, '0x1': 0.03537910381665577, '0x2': 0.026464963024751643, '0x3': 0.07694834212173388, '0x4': 0.04458106006519503, '0x5': 0.28328323284186674, '0x6': 0.1709898417173965, '0x7': 0.0417635933213848}"
4,ceq42870c79flplhsis0,ibm_nairobi,2023-01-03 11:18:57.573585,evolution,3,False,False,0.3,1.0,"{'0x0': 287, '0x1': 412, '0x2': 244, '0x3': 154, '0x4': 468, '0x5': 133, '0x6': 125, '0x7': 177}","{'0x0': 0.12713917824506765, '0x1': 0.21749101821896616, '0x2': 0.12031470477357328, '0x3': 0.06953785738308262, '0x4': 0.2518680894713777, '0x5': 0.0636252253129345, '0x6': 0.053245523539626645, '0x7': 0.09677840305537158}"
5,ceq42870c79flplhsis0,ibm_nairobi,2023-01-03 11:18:57.573585,rescaling,3,False,False,0.3,1.0,"{'0x0': 628, '0x1': 127, '0x2': 96, '0x3': 93, '0x4': 125, '0x5': 618, '0x6': 218, '0x7': 95}","{'0x0': 0.330188420607727, '0x1': 0.046700802896811874, '0x2': 0.030150925027648982, '0x3': 0.04652448019639266, '0x4': 0.04472648034765676, '0x5': 0.3476829287018406, '0x6': 0.1173269744404717, '0x7': 0.03669898778145041}"
6,ceq42870c79flplhsis0,ibm_nairobi,2023-01-03 11:18:57.573585,evolution,4,False,False,0.3,1.0,"{'0x0': 134, '0x1': 367, '0x2': 347, '0x3': 367, '0x4': 206, '0x5': 95, '0x6': 87, '0x7': 397}","{'0x0': 0.049988979067986834, '0x1': 0.19014608301471508, '0x2': 0.1815521000044785, '0x3': 0.19156824152993485, '0x4': 0.10560415065333631, '0x5': 0.03272492942600963, '0x6': 0.030139047669645612, '0x7': 0.21827646863389327}"
7,ceq42870c79flplhsis0,ibm_nairobi,2023-01-03 11:18:57.573585,rescaling,4,False,False,0.3,1.0,"{'0x0': 632, '0x1': 183, '0x2': 97, '0x3': 77, '0x4': 152, '0x5': 551, '0x6': 168, '0x7': 140}","{'0x0': 0.3302410500334621, '0x1': 0.07978928373787232, '0x2': 0.03232304931449371, '0x3': 0.03501069561101979, '0x4': 0.06284325879323008, '0x5': 0.30745283002034957, '0x6': 0.08745659103827408, '0x7': 0.06488324145129835}"
8,ceq42870c79flplhsis0,ibm_nairobi,2023-01-03 11:18:57.573585,evolution,5,False,False,0.3,1.0,"{'0x0': 132, '0x1': 417, '0x2': 294, '0x3': 379, '0x4': 163, '0x5': 140, '0x6': 125, '0x7': 350}","{'0x0': 0.05044973364731554, '0x1': 0.21600528281434983, '0x2': 0.15061944241272418, '0x3': 0.2000406712535329, '0x4': 0.08027415376024583, '0x5': 0.05817880523821154, '0x6': 0.054178110095013485, '0x7': 0.1902538007786067}"
9,ceq42870c79flplhsis0,ibm_nairobi,2023-01-03 11:18:57.573585,rescaling,5,False,False,0.3,1.0,"{'0x0': 261, '0x1': 132, '0x2': 153, '0x3': 316, '0x4': 291, '0x5': 173, '0x6': 201, '0x7': 473}","{'0x0': 0.1260183472054321, '0x1': 0.05837271768575186, '0x2': 0.07071163575023981, '0x3': 0.16351220893069812, '0x4': 0.1438569946885544, '0x5': 0.07930429921019179, '0x6': 0.09657554220754702, '0x7': 0.2616482543215849}"
10,ceq42870c79flplhsis0,ibm_nairobi,2023-01-03 11:18:57.573585,evolution,6,False,False,0.3,1.0,"{'0x0': 165, '0x1': 327, '0x2': 273, '0x3': 363, '0x4': 181, '0x5': 150, '0x6': 201, '0x7': 340}","{'0x0': 0.07030788759769463, '0x1': 0.16614055184986987, '0x2': 0.13678658337545738, '0x3': 0.19204949415977493, '0x4': 0.08706068865064187, '0x5': 0.06606142404903295, '0x6': 0.09748062650643376, '0x7': 0.18411274381109477}"
