,jobid,machine,date,sim type,nt,pauli twirling,dynamic decoupling,epsilon,mass,counts bare,counts mitigated
0,cc4k6pr9k0hjph7mmrd0,ibmq_jakarta,2022-08-26 22:04:32.647962,evolution,1,True,False,0.3,2.0,"{'0x0': 406, '0x1': 296, '0x2': 152, '0x3': 184, '0x4': 265, '0x5': 356, '0x6': 183, '0x7': 158}","{'0x0': 0.18894457060461842, '0x1': 0.12577833422563833, '0x2': 0.07921457434551074, '0x3': 0.10790365706831455, '0x4': 0.114198434780743, '0x5': 0.17756667167249793, '0x6': 0.11112351544513818, '0x7': 0.09527024185753874}"
1,cc4k6pr9k0hjph7mmrd0,ibmq_jakarta,2022-08-26 23:54:04.078600,evolution,1,True,False,0.3,2.0,"{'0x0': 406, '0x1': 296, '0x2': 152, '0x3': 184, '0x4': 265, '0x5': 356, '0x6': 183, '0x7': 158}","{'0x0': 0.18894457060461842, '0x1': 0.12577833422563833, '0x2': 0.07921457434551074, '0x3': 0.10790365706831455, '0x4': 0.114198434780743, '0x5': 0.17756667167249793, '0x6': 0.11112351544513818, '0x7': 0.09527024185753874}"
2,cc4k6pr9k0hjph7mmrd0,ibmq_jakarta,2022-08-26 23:54:04.078618,evolution,1,True,False,0.3,2.0,"{'0x0': 406, '0x1': 296, '0x2': 152, '0x3': 184, '0x4': 265, '0x5': 356, '0x6': 183, '0x7': 158}","{'0x0': 0.18894457060461842, '0x1': 0.12577833422563833, '0x2': 0.07921457434551074, '0x3': 0.10790365706831455, '0x4': 0.114198434780743, '0x5': 0.17756667167249793, '0x6': 0.11112351544513818, '0x7': 0.09527024185753874}"
3,cc4k6pr9k0hjph7mmrd0,ibmq_jakarta,2022-08-26 23:54:04.078623,evolution,1,True,False,0.3,2.0,"{'0x0': 406, '0x1': 296, '0x2': 152, '0x3': 184, '0x4': 265, '0x5': 356, '0x6': 183, '0x7': 158}","{'0x0': 0.18894457060461842, '0x1': 0.12577833422563833, '0x2': 0.07921457434551074, '0x3': 0.10790365706831455, '0x4': 0.114198434780743, '0x5': 0.17756667167249793, '0x6': 0.11112351544513818, '0x7': 0.09527024185753874}"
4,cc4k6pr9k0hjph7mmrd0,ibmq_jakarta,2022-08-26 23:54:04.078627,evolution,1,True,False,0.3,2.0,"{'0x0': 406, '0x1': 296, '0x2': 152, '0x3': 184, '0x4': 265, '0x5': 356, '0x6': 183, '0x7': 158}","{'0x0': 0.18894457060461842, '0x1': 0.12577833422563833, '0x2': 0.07921457434551074, '0x3': 0.10790365706831455, '0x4': 0.114198434780743, '0x5': 0.17756667167249793, '0x6': 0.11112351544513818, '0x7': 0.09527024185753874}"
5,cc4k6pr9k0hjph7mmrd0,ibmq_jakarta,2022-08-26 23:54:04.078631,evolution,1,True,False,0.3,2.0,"{'0x0': 406, '0x1': 296, '0x2': 152, '0x3': 184, '0x4': 265, '0x5': 356, '0x6': 183, '0x7': 158}","{'0x0': 0.18894457060461842, '0x1': 0.12577833422563833, '0x2': 0.07921457434551074, '0x3': 0.10790365706831455, '0x4': 0.114198434780743, '0x5': 0.17756667167249793, '0x6': 0.11112351544513818, '0x7': 0.09527024185753874}"
6,cc4k6pr9k0hjph7mmrd0,ibmq_jakarta,2022-08-26 23:54:04.078636,evolution,1,True,False,0.3,2.0,"{'0x0': 406, '0x1': 296, '0x2': 152, '0x3': 184, '0x4': 265, '0x5': 356, '0x6': 183, '0x7': 158}","{'0x0': 0.18894457060461842, '0x1': 0.12577833422563833, '0x2': 0.07921457434551074, '0x3': 0.10790365706831455, '0x4': 0.114198434780743, '0x5': 0.17756667167249793, '0x6': 0.11112351544513818, '0x7': 0.09527024185753874}"
7,cc4k6pr9k0hjph7mmrd0,ibmq_jakarta,2022-08-26 23:54:04.078640,evolution,1,True,False,0.3,2.0,"{'0x0': 406, '0x1': 296, '0x2': 152, '0x3': 184, '0x4': 265, '0x5': 356, '0x6': 183, '0x7': 158}","{'0x0': 0.18894457060461842, '0x1': 0.12577833422563833, '0x2': 0.07921457434551074, '0x3': 0.10790365706831455, '0x4': 0.114198434780743, '0x5': 0.17756667167249793, '0x6': 0.11112351544513818, '0x7': 0.09527024185753874}"
8,cc4k6pr9k0hjph7mmrd0,ibmq_jakarta,2022-08-26 23:54:04.078651,evolution,1,True,False,0.3,2.0,"{'0x0': 406, '0x1': 296, '0x2': 152, '0x3': 184, '0x4': 265, '0x5': 356, '0x6': 183, '0x7': 158}","{'0x0': 0.18894457060461842, '0x1': 0.12577833422563833, '0x2': 0.07921457434551074, '0x3': 0.10790365706831455, '0x4': 0.114198434780743, '0x5': 0.17756667167249793, '0x6': 0.11112351544513818, '0x7': 0.09527024185753874}"
9,cc4k6pr9k0hjph7mmrd0,ibmq_jakarta,2022-08-26 23:54:04.078655,evolution,1,True,False,0.3,2.0,"{'0x0': 406, '0x1': 296, '0x2': 152, '0x3': 184, '0x4': 265, '0x5': 356, '0x6': 183, '0x7': 158}","{'0x0': 0.18894457060461842, '0x1': 0.12577833422563833, '0x2': 0.07921457434551074, '0x3': 0.10790365706831455, '0x4': 0.114198434780743, '0x5': 0.17756667167249793, '0x6': 0.11112351544513818, '0x7': 0.09527024185753874}"
